id,theta_x,theta_y
61,0.10152855703564025,0.8507049898181557
62,0.1693210999796057,0.9247817223508225
63,0.23822420072243033,0.9951436889525032
64,0.4153299212732689,1.0167815966081435
65,0.5113734866039789,1.0579095423706768
66,0.5205078272256953,1.068322926713636
67,0.49784198549134323,1.0737160516944255
68,0.5584906930730833,1.0931411699113893
69,0.6018694095657053,1.099271778096099
70,0.6110745375490421,1.099371131917006
71,0.6537391496515463,1.0928529344357298
72,0.6517526643165162,1.090096362795358
73,0.6831248104195206,1.08582845015798
74,0.6944314271079501,1.0746869288053187
75,0.7103027334983177,1.0683806463047605
76,0.7104730284880946,1.0555373377514066
77,0.7146603548474612,1.0297719961130825
78,0.7171231551184173,0.9684679529501603
79,0.7169989410691219,0.892454777830817
80,0.7120945820795566,0.7705677038855224
81,0.6987142350954902,0.6340984094416098
82,0.6868765965863506,0.48423445957666983
83,0.6765335259512998,0.3177621316386918
84,0.6505148354990687,0.14526418404749827
85,0.5401419841006504,0.02512257843059741
86,0.43157255583934084,-0.2211664605193253
87,0.32381884301956937,-0.3723942595810022
88,0.27486540945988325,-0.5021629573675794
89,0.144332718846315,-0.5778739207695468
90,-0.04420279000309377,-0.6493409288297869
91,-0.14373493278240113,-0.7863117787629643
92,-0.21370576896219276,-0.844911518103023
93,-0.31227124127081346,-0.9037905195730792
94,-0.46932861281126215,-0.9620114237387452
95,-0.5372289621693608,-1.0333172065804044
96,-0.6466302203121874,-1.0735852004922413
97,-0.7389400782808311,-1.0900260697690611
98,-0.8329154631730454,-1.112819856663568
99,-0.8504036036586049,-1.096405832707746
100,-0.9126793165842623,-1.103540713657968
101,-0.9568737805980226,-1.0985984372487105
102,-1.0105638138081094,-1.1059906570686138
103,-1.0764700515726098,-1.1140916527225972
104,-1.1215326196951374,-1.1304080537305012
105,-1.1550970543375194,-1.1682574987615506
106,-1.1564158115134235,-1.1686230032948952
107,-1.1455705249514954,-1.1655317462243393
108,-1.1454641608978797,-1.1678082344776217
109,-1.1345192826701078,-1.1819826291303004
110,-1.1537713099627303,-1.2085449448509775
111,-1.1457481596186234,-1.2154907273743552
112,-1.156078746334417,-1.22883141543684
113,-1.1519718679382962,-1.245597875546715
114,-1.2004321426294464,-1.2539741348754385
115,-1.2327945026645237,-1.264429975450161
116,-1.2733857054338484,-1.2745307522448144
117,-1.3024432612652006,-1.2756332618448893
118,-1.33669684454619,-1.2859981645448912
119,-1.3631520223956162,-1.2942879027104108
120,-1.401000005120815,-1.2949453976850476
121,-1.4231591433161999,-1.2904515164899042
122,-1.4568250455564027,-1.2937275098704148
123,-1.475725047757856,-1.2927623725345088
124,-1.496139239308727,-1.2937676914307854
125,-1.5117835760684213,-1.2997719278526072
126,-1.5237432799590611,-1.2982426805702765
127,-1.5284982393580733,-1.2936264181984904
128,-1.5326018497406662,-1.2899941814645508
129,-1.540375005999574,-1.2841748822896404
130,-1.5465369896982561,-1.270157031104151
131,-1.54603984094486,-1.2523026065762088
132,-1.5392151251792516,-1.2283809452880265
133,-1.5358153110435502,-1.2105089620732317
134,-1.513813658452305,-1.1884792198904306
135,-1.4697796816309259,-1.1556071838567088
136,-1.410985052157093,-1.135788242658309
137,-1.3473569355644053,-1.1307361409236647
138,-1.2726361047190464,-1.1263698041530252
139,-1.2168396657147642,-1.1291311536030888
140,-1.1590315030483376,-1.1267650903242077
141,-1.1208805627592773,-1.104890932870277
142,-1.1099617428483504,-1.0706796520243895
143,-1.098143806210629,-1.0480497637457429
144,-1.0639543572041712,-0.9919557684935988
145,-0.9952497512161027,-0.8354208596687026
146,-0.9163306886715303,-0.6459577696770545
147,-0.7677211025699474,-0.5628132376928267
148,-0.4654415170295923,-0.4996987516040554
149,-0.24835938893435325,-0.30466303149863705
150,-0.06549269511344472,-0.1400956467285236
151,0.151109501125873,0.12232430926055016
152,0.30476846734807106,0.16010135708510487
153,0.3603716078211375,0.24397353187302015
154,0.39347563215526377,0.4013616498756034
155,0.4218115832562721,0.5523595097436046
156,0.4922034323118985,0.6781955799824265
157,0.5004022117730081,0.7377928828773629
158,0.5656979255963773,0.7903419690487605
159,0.5683127097997479,0.8557018090663444
160,0.6262708682263213,0.8897097723759564
161,0.6840400196858403,0.9113088385605468
162,0.792893535150904,0.9057586570345935
163,0.8807987359187979,0.9178665887230986
164,0.918768138066615,0.8993368146527102
165,0.9315906549629323,0.9100990115444382
166,0.9332504406233451,0.9135713182149843
167,0.9540288729947319,0.9077740193887412
168,0.9817704023107869,0.9201891667370538
169,0.9943448743315784,0.9007992324688581
170,0.9875787614208837,0.9177816211319586
171,0.9780822836760557,0.9151336758141909
172,0.9478662806527726,0.9109775705747999
